,pred,counts,frac
547,S42C,81,0.25961538461538464
548,A107C,60,0.19230769230769232
549,A124C,86,0.27564102564102566
550,A78C,88,0.28205128205128205
551,S42C,78,0.25
552,A107C,67,0.21474358974358973
553,A124C,85,0.2724358974358974
554,A78C,90,0.28846153846153844
555,S42C,70,0.22435897435897437
556,A107C,56,0.1794871794871795
557,A124C,79,0.2532051282051282
558,A78C,79,0.2532051282051282
559,S42C,98,0.3141025641025641
560,A107C,64,0.20512820512820512
561,A124C,87,0.27884615384615385
562,A78C,85,0.2724358974358974
563,S42C,76,0.24358974358974358
564,A107C,54,0.17307692307692307
565,A124C,82,0.26282051282051283
566,A78C,87,0.27884615384615385
567,S42C,89,0.28525641025641024
568,A107C,48,0.15384615384615385
569,A124C,88,0.28205128205128205
570,A78C,97,0.3108974358974359
571,S42C,79,0.2532051282051282
572,A107C,63,0.20192307692307693
573,A124C,80,0.2564102564102564
574,A78C,89,0.28525641025641024
575,S42C,80,0.2564102564102564
576,A107C,59,0.1891025641025641
577,A124C,91,0.2916666666666667
578,A78C,96,0.3076923076923077
579,S42C,66,0.21153846153846154
580,A107C,58,0.1858974358974359
581,A124C,78,0.25
582,A78C,84,0.2692307692307692
583,S42C,92,0.2948717948717949
584,A107C,56,0.1794871794871795
585,A124C,86,0.27564102564102566
586,A78C,84,0.2692307692307692
587,S42C,86,0.27564102564102566
588,A107C,55,0.1762820512820513
589,A124C,85,0.2724358974358974
590,A78C,91,0.2916666666666667
591,S42C,81,0.25961538461538464
592,A107C,62,0.1987179487179487
593,A124C,73,0.23397435897435898
594,A78C,91,0.2916666666666667
595,S42C,86,0.27564102564102566
596,A107C,73,0.23397435897435898
597,A124C,75,0.2403846153846154
598,A78C,97,0.3108974358974359
599,S42C,67,0.21474358974358973
600,A107C,49,0.15705128205128205
601,A124C,96,0.3076923076923077
602,A78C,85,0.2724358974358974
603,S42C,82,0.26282051282051283
604,A107C,61,0.1955128205128205
605,A124C,88,0.28205128205128205
606,A78C,90,0.28846153846153844
607,S42C,73,0.23397435897435898
608,A107C,63,0.20192307692307693
609,A124C,80,0.2564102564102564
610,A78C,81,0.25961538461538464
611,S42C,88,0.28205128205128205
612,A107C,66,0.21153846153846154
613,A124C,90,0.28846153846153844
614,A78C,82,0.26282051282051283
615,S42C,74,0.23717948717948717
616,A107C,51,0.16346153846153846
617,A124C,87,0.27884615384615385
618,A78C,89,0.28525641025641024
619,S42C,85,0.2724358974358974
620,A107C,51,0.16346153846153846
621,A124C,85,0.2724358974358974
622,A78C,94,0.30128205128205127
623,S42C,82,0.26282051282051283
624,A107C,59,0.1891025641025641
625,A124C,82,0.26282051282051283
626,A78C,104,0.3333333333333333
627,S42C,67,0.21474358974358973
628,A107C,50,0.16025641025641027
629,A124C,78,0.25
630,A78C,98,0.3141025641025641
631,S42C,86,0.27564102564102566
632,A107C,63,0.20192307692307693
633,A124C,86,0.27564102564102566
634,A78C,85,0.2724358974358974
635,S42C,78,0.25
636,A107C,60,0.19230769230769232
637,A124C,73,0.23397435897435898
638,A78C,89,0.28525641025641024
639,S42C,90,0.28846153846153844
640,A107C,71,0.22756410256410256
641,A124C,83,0.266025641025641
642,A78C,86,0.27564102564102566
643,S42C,72,0.23076923076923078
644,A107C,49,0.15705128205128205
645,A124C,94,0.30128205128205127
646,A78C,90,0.28846153846153844
647,S42C,79,0.2532051282051282
648,A107C,79,0.2532051282051282
649,A124C,65,0.20833333333333334
650,A78C,79,0.2532051282051282
651,S42C,89,0.28525641025641024
652,A107C,62,0.1987179487179487
653,A124C,78,0.25
654,A78C,85,0.2724358974358974
655,S42C,87,0.27884615384615385
656,A107C,54,0.17307692307692307
657,A124C,97,0.3108974358974359
658,A78C,93,0.2980769230769231
659,S42C,68,0.21794871794871795
660,A107C,59,0.1891025641025641
661,A124C,85,0.2724358974358974
662,A78C,78,0.25
663,S42C,90,0.28846153846153844
664,A107C,51,0.16346153846153846
665,A124C,89,0.28525641025641024
666,A78C,92,0.2948717948717949
667,S42C,80,0.2564102564102564
668,A107C,60,0.19230769230769232
669,A124C,88,0.28205128205128205
670,A78C,75,0.2403846153846154
671,S42C,89,0.28525641025641024
672,A107C,60,0.19230769230769232
673,A124C,85,0.2724358974358974
674,A78C,93,0.2980769230769231
675,S42C,74,0.23717948717948717
676,A107C,54,0.17307692307692307
677,A124C,96,0.3076923076923077
678,A78C,87,0.27884615384615385
679,S42C,75,0.2403846153846154
680,A107C,67,0.21474358974358973
681,A124C,84,0.2692307692307692
682,A78C,78,0.25
683,S42C,83,0.266025641025641
684,A107C,53,0.16987179487179488
685,A124C,87,0.27884615384615385
686,A78C,84,0.2692307692307692
687,S42C,88,0.28205128205128205
688,A107C,53,0.16987179487179488
689,A124C,95,0.30448717948717946
690,A78C,86,0.27564102564102566
691,S42C,78,0.25
692,A107C,68,0.21794871794871795
693,A124C,85,0.2724358974358974
694,A78C,80,0.2564102564102564
695,S42C,79,0.2532051282051282
696,A107C,56,0.1794871794871795
697,A124C,95,0.30448717948717946
698,A78C,77,0.2467948717948718
699,S42C,84,0.2692307692307692
700,A107C,59,0.1891025641025641
701,A124C,80,0.2564102564102564
702,A78C,82,0.26282051282051283
703,S42C,91,0.2916666666666667
704,A107C,57,0.18269230769230768
705,A124C,83,0.266025641025641
706,A78C,79,0.2532051282051282
707,S42C,93,0.2980769230769231
708,A107C,52,0.16666666666666666
709,A124C,98,0.3141025641025641
710,A78C,92,0.2948717948717949
711,S42C,70,0.22435897435897437
